university;open_date;close_date;abbr_x;prospectus_x;application_link;Assigned;open date;close date;abbr_y;prospectus_y;application link;Application Fee;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12
University of South Africa(UNISA)*;2025/10/15;2025/11/15;UNISA;https://www.unisa.ac.za/static/myunisa/Content/study%20at%20unisa/docs/Study-at-Unisa-2020.pdf;https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission;Hlonepho Masena;;;UNISA;;https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission;;;;;;
Stellenbosch University;2025/04/01;2025/07/31;SUN;https://www.sun.ac.za/english/maties/Documents/Admission%20booklet%202025%20%28English%29.pdf;https://student.sun.ac.za/applicant-portal/#/auth/login;Zanele Sikhwinyane;2025-04-01;31/07/2025;SUN;https://blogs.sun.ac.za/open-day/files/2024/06/2025-Admission-booklet-Eng.pdf;;https://www.sun.ac.za/english/maties/apply;;;;;100
University of Pretoria;2025/04/01;2025/06/30;UP;https://www.up.ac.za/media/shared/368/Faculty%20Brochures/2025/up_ug-prospectus-2025_nsc-ieb_devv5_web.zp246017.pdf;https://upnet.up.ac.za/upapply/signon.html;Ayanda Thebehali;2025-04-01;2025-06-30;UP;https://www.up.ac.za/media/shared/434/Apply/up-application-process-2025.zp246407.pdf;https://upnet.up.ac.za/upapply/signon.html;R300;;;;;
University of the Western Cape;2025/04/02;2025/09/30;UWC;https://uwc-za.b-cdn.net/files/files/Admission-Requirements-2025.pdf;https://student.uwc.ac.za/;Kamohelo Khanye;2025-04-02;2025-09-30;UWC;https://media.portmoni.com/56497/Admission-Requirements-2025.pdf;https://student.uwc.ac.za/;Free;;;;;
University of the Witwatersrand;2025/04/01;2025/09/30;Wits;;http://www.wits.ac.za/applications/;Sphiwe Mvulane;2025-04-01;2025-9-30;Wits;https://www.wits.ac.za/media/wits-university/study/schools-liason/documents/Wits%20SLO%20Grade%2012_100125.pdf;https://self-service.wits.ac.za/psc/csprodonl/UW_SELF_SERVICE/SA/c/VC_OA_LOGIN_MENU.VC_OA_LOGIN_FL.GBL?&;R100;;;;;
Walter Sisulu University;2025/06/01;2025/10/31;WSU;https://www.wsu.ac.za/index.php/study-with-us/undergraduate-academic-programmes/new-undergraduate-students/how-to-apply-the-process;http://itsapp.cle.intra.wsu.ac.za:7771/pls/prodi03/w99pkg.mi_login;Hlonepho Masena;2025-06-01;2025-10-31;WSU;https://www.wsu.ac.za/index.php/en/study-with-us/2024-prospectuses?layout=table;;;;;;;
University of Venda;2025/05/08;2025/09/26;UNIVEN;https://www.univen.ac.za/wp-content/uploads/2024/02/2025_-Undergraduate-Student-Information-Brochure-corrected.pdf;https://www.univen.ac.za/students/student-support-services/how-to-apply/apply-online/;Boikano Morele;Open;2025-09-26;UNIVEN;https://www.univen.ac.za/wp-content/uploads/2025/02/2026_UNDERGRADUATE-STUDENT-INFORMATION-BROCHURE-.pdf;;Free;;;;;
University of Zululand;2025/03/01;2025/10/31;UNIZULU;https://www.unizulu.ac.za/wp-content/uploads/2022/07/Admission-Requirements-for-2023.pdf;https://cao.ac.za;Boikano Morele;3/1/2025;2025-10-31;UNIZULU;https://www.unizulu.ac.za/wp-content/uploads/2025/02/2026-Brochure-for-undergraduate.pdf;https://cao.ac.za;R250 CAO fee;;;;;
Sol Plaatje University;2025/04/01;2025/10/31;SPU;https://www.spu.ac.za/wp-content/uploads/2024/04/SPU-2025-UG-Prospectus.pdf;https://ienabler.spu.ac.za/pls/prodi41/w99pkg.mi_login?numtype=S;Bongumusa Mavuso;2025-04-01;2025-10-31;SPU;https://www.spu.ac.za/wp-content/uploads/2024/04/SPU-2025-UG-Prospectus.pdf;https://ienabler.spu.ac.za/pls/prodi41/w99pkg.mi_login?numtype=S;R100;;;;;
Cape Peninsula University of Technology;2025/05/12;2025/09/30;CPUT;https://s3.amazonaws.com/document.issuu.com/210528105503-9cc51ba6238e02238225aa90bcc2b099/original.file?AWSAccessKeyId=AKIATDDRE5J7XVRGFFGQ&Expires=1628098837&Signature=dO67Fv%2FzWqJDqLMxewhvb%2FpQ4dA%3D;https://alecto.cput.ac.za/pls/prodi41/gen.gw1pkg.gw1startup?x_processcode=ITS_OAP;Bongumusa Mavuso;2025-05-12;2025-09-30;CPUT;https://s3.amazonaws.com/document.issuu.com/250116125322-1c43fd2c77473a69be16fd69ba2ed24e/original.file?AWSAccessKeyId=ASIATDDRE5J72XI4IYBJ&Signature=s9h0ITNRHkDg1aHF10Gy7Nw8nhw%3D&x-amz-security-token=FwoGZXIvYXdzEL3%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaDPDxKHi4FIvQ9tH7oCLkAi2c1T5JKEQD%2B0dPVg1h5R7KcDIAstKDF3c0panSUBcZjWulDPyI%2Fy2sqv%2BxYSJ6ocMkEGlS8f9sWqLH%2ByXd%2BGJDJeVBYIsiQJH8AOsuJc2ZW5t1UANmvUSeQBkfMfxeO9uoCLdcC15jtmUpiFwuJDBfTO1eir8nMU5f3dCbO67EgbdHbXungrkHKbLiRf53Hweh21v6AkHQEC8D2d3vL6CQjSju3D9PawPmuUyAiWIAWQ%2F7ML%2Fw%2Be3AGqUhmGM38btGdioHWwicCAcqhDkL4NwddbKwLIApFdrmLUiRR4XCwHTdd5PJbfuHogWsi%2BLx8AdnXpI4H6v9cUcR8m5LHZgjci1ORW71MAHzQsaHqp7DJxFHancXzwzib6VwIIA7n4HsL%2Bh%2FQb0xjFNpBnrhnAYfFI28GdfGgGVnNBOHcoEa275pz8mfoXIfNWYv1JaTOf3AUwLiM0Ccy6K35W%2Fh5vlfcoiFKMDUwr8GMinsvLrmAFNFHndv36HRCSp5kANO8s73eWjhic%2FFvMFjsMVqI0fDFUCFfQ%3D%3D&Expires=1743830476;;;;;;;
Central University of Technology;;2025/09/30;CUT;https://cms.cut.ac.za/Files/Froala/98dbd744-3e0a-4e80-9939-2dfc1f510f78.pdf;https://enroll.cut.ac.za/pls/prodi41/gen.gw1pkg.gw1startup?x_processcode=ITS_OAP;Sinethemba Tsotetsi;;;CUT;;;;;;;;
Durban University of Technology;2025/04/01;2025/11/30;DUT;https://www.dut.ac.za/student_portal/student_registration/how_to;https://cao.ac.za;Sinethemba Tsotetsi;2025-04-01;;DUT;;https://cao.ac.za;;;;;;
Tswane University of Technology;2025/04/01;2025/09/30;TUT;https://www.tut.ac.za/media/docs/2025%20Course%20Information.pdf;https://ienabler.tut.ac.za/pls/prodi41/gen.gw1pkg.gw1startup?x_processcode=ITS_OAP;Sihle Sibaya;2025-04-01;2025-9-30;TUT;https://tut.ac.za/images/docs/study/2026General-Information-First-Year-Enrolment.pdf;https://applications-prod.tut.ac.za/;R240;;;;;
Vaal University of Technology;2025/04/01;2025/09/30;VUT;https://www.vut.ac.za/wp-content/uploads/2024/02/2025-Undergrad-A4-flyer-double-sided-Final-for-Web.pdf;https://ienabler.vut.ac.za/pls/prodi03/w99pkg.mi_login;Sihle Sibaya;2025-04-01;2025-9-30;VUT;https://vut.ac.za/wp-content/uploads/2025/04/2026-A4-flyer-double-sided.pdf;;R110;;;;;
Mangosuthu University of Technology;2025/01/01;2025/09/30;MUT;vut.ac.za/apply-to-vut/;https://cao.ac.za;Lerato Kgwedi;2025-01-01;2025-09-30;MUT;https://www.mut.ac.za/wp-content/uploads/2023/09/Undergraduate-Prospectus.pdf;https://cao.ac.za;R250 CAO fee;;;;;
Ekurhuleni West College;2025/04/05;2025/09/30;EWC;http://www.ewc.edu.za/docs/EWC_Prospectus_2023.pdf;http://www.ewc.edu.za/new_students_application_instructions.htm;Lerato Kgwedi;2025-04-05;2025-09-30;EWC;http://www.ewc.edu.za/programmes.html;http://www.ewc.edu.za/new_students_application_instructions.htm;Free;;;;;
